,Description,United States Total,,,Alabama,,,Alaska,,,Arizona,,,Arkansas,,,California,,,Colorado,,,Connecticut,,,Delaware,,,District of Columbia,,,Florida,,,Georgia,,,Hawaii,,,Idaho,,,Illinois,,,Indiana,,,Iowa,,,Kansas,,,Kentucky,,,Louisiana,,,Maine,,,Maryland,,,Massachusetts,,,Michigan,,,Minnesota,,,Mississippi,,
,,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local
,,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1
,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2.00,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Line,Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78
11,               General sales,"389,018,755","299,573,689","89,445,066","5,065,832","2,654,883","2,410,949","233,759",0,"233,759","10,333,725","7,237,044","3,096,681","4,543,331","3,384,394","1,158,937","49,075,211","35,357,699","13,717,512","7,517,416","2,978,382","4,539,034","4,236,619","4,236,619",0,0,0,0,"1,368,496",0,"1,368,496","27,760,897","25,346,166","2,414,731","9,287,472","5,729,916","3,557,556","3,462,574","3,239,225","223,349","1,655,240","1,650,498","4,742","14,411,303","11,363,366","3,047,937","7,556,509","7,556,326",183,"3,546,697","3,205,997","340,700","4,303,685","3,209,506","1,094,179","3,490,639","3,490,639",0,"8,647,454","4,215,378","4,432,076","1,441,867","1,441,867",0,"4,609,538","4,609,538",0,"6,240,822","6,240,822",0,"9,223,737","9,223,737",0,"6,106,081","5,888,795","217,286","3,483,438","3,483,438",0
12,               Selective sales,"191,336,678","157,121,426","34,215,252","2,993,799","2,592,411","401,388","381,549","263,120","118,429","2,277,994","1,977,249","300,745","1,536,891","1,317,474","219,417","22,529,531","16,172,550","6,356,981","2,741,986","2,298,701","443,285","2,754,851","2,754,851",0,"573,364","556,490","16,874","445,914",0,"445,914","12,607,006","8,743,763","3,863,243","4,405,628","3,079,274","1,326,354","1,327,539","1,126,631","200,908","627,840","581,258","46,582","10,428,595","7,266,528","3,162,067","3,583,275","3,457,023","126,252","1,667,473","1,407,088","260,385","1,365,806","1,092,253","273,553","2,877,613","2,159,069","718,544","2,900,137","2,555,589","344,548","729,836","723,275","6,561","5,591,732","4,633,222","958,510","2,988,100","2,568,427","419,673","4,744,668","4,479,884","264,784","4,937,748","4,718,840","218,908","1,579,575","1,466,766","112,809"
13,                    Motor fuel,"46,621,006","45,036,264","1,584,742","688,205","588,992","99,213","45,944","45,944",0,"856,495","856,495",0,"487,566","487,517",49,"4,842,749","4,842,749",0,"653,790","653,790",0,"484,479","484,479",0,"129,487","129,487",0,"26,098",0,"26,098","3,540,230","2,727,802","812,428","1,741,092","1,741,092",0,"168,243","87,026","81,217","353,548","353,548",0,"1,537,195","1,348,414","188,781","857,431","854,529","2,902","674,603","674,603",0,"458,008","458,008",0,"701,440","701,440",0,"634,883","634,883",0,"252,870","252,870",0,"1,078,313","1,078,313",0,"769,442","769,442",0,"1,210,628","1,210,628",0,"912,644","912,644",0,"452,795","445,361","7,434"
14,                    Alcoholic beverage,"7,296,727","6,619,772","676,955","266,157","217,790","48,367","45,922","40,097","5,825","74,126","74,126",0,"61,897","55,831","6,066","370,714","370,714",0,"44,866","44,866",0,"63,155","63,155",0,"20,577","20,577",0,"6,641",0,"6,641","323,393","323,393",0,"340,596","193,438","147,158","51,167","51,167",0,"9,788","9,468",320,"365,207","294,304","70,903","49,669","49,403",266,"22,535","22,535",0,"137,801","137,801",0,"146,227","146,227",0,"79,270","77,107","2,163","19,266","19,266",0,"32,151","32,151",0,"85,397","85,397",0,"159,378","159,378",0,"94,205","88,222","5,983","41,818","41,818",0
15,                    Tobacco products,"19,032,046","18,644,264","387,782","217,962","188,783","29,179","105,912","67,555","38,357","310,706","310,706",0,"228,540","228,540",0,"852,894","852,894",0,"201,554","199,989","1,565","381,778","381,778",0,"112,349","112,349",0,"29,530",0,"29,530","1,197,666","1,197,666",0,"220,774","220,774",0,"124,160","124,160",0,"50,883","50,883",0,"942,376","781,528","160,848","434,577","434,331",246,"220,938","220,938",0,"138,698","138,698",0,"243,096","243,096",0,"174,001","174,001",0,"144,243","144,243",0,"386,965","386,965",0,"619,437","619,437",0,"1,038,594","1,038,594",0,"681,018","681,018",0,"144,792","144,792",0
16,                    Public utilities,"27,057,188","12,248,133","14,809,055","770,896","688,756","82,140","13,478","4,370","9,108","211,320","22,325","188,995","154,442",0,"154,442","4,143,154","728,045","3,415,109","154,788",0,"154,788","283,433","283,433",0,"58,352","53,798","4,554","177,245",0,"177,245","4,031,638","1,972,968","2,058,670","383,545",0,"383,545","241,850","122,159","119,691","41,272","2,152","39,120","2,518,804","1,527,274","991,530","245,120","193,613","51,507","234,143","31,386","202,757","227,616",378,"227,238","381,445","58,298","323,147","199,811","9,110","190,701","28,454","21,944","6,510","592,420","138,251","454,169",0,0,0,"82,732","35,261","47,471","128,886",54,"128,832","61,132","1,578","59,554"
17,                    Other selective sales,"91,329,711","74,572,993","16,756,718","1,050,579","908,090","142,489","170,293","105,154","65,139","825,347","713,597","111,750","604,446","545,586","58,860","12,320,020","9,378,148","2,941,872","1,686,988","1,400,056","286,932","1,542,006","1,542,006",0,"252,599","240,279","12,320","206,400",0,"206,400","3,514,079","2,521,934","992,145","1,719,621","923,970","795,651","742,119","742,119",0,"172,349","165,207","7,142","5,065,013","3,315,008","1,750,005","1,996,478","1,925,147","71,331","515,254","457,626","57,628","403,683","357,368","46,315","1,405,405","1,010,008","395,397","1,812,172","1,660,488","151,684","285,003","284,952",51,"3,501,883","2,997,542","504,341","1,513,824","1,094,151","419,673","2,253,336","2,036,023","217,313","3,120,995","3,036,902","84,093","879,038","833,217","45,821"
18,          Individual income,"384,577,729","351,526,396","33,051,333","3,748,814","3,624,543","124,271",0,0,0,"4,131,621","4,131,621",0,"2,767,767","2,767,767",0,"84,196,751","84,196,751",0,"6,791,929","6,791,929",0,"7,959,492","7,959,492",0,"1,180,975","1,180,975",0,"1,958,277",0,"1,958,277",0,0,0,"10,977,693","10,977,693",0,"2,095,601","2,095,601",0,"1,660,248","1,660,248",0,"13,256,769","13,256,769",0,"6,056,458","5,435,292","621,166","3,758,601","3,655,462","103,139","2,329,036","2,327,652","1,384","5,848,550","4,394,185","1,454,365","2,949,939","2,949,939",0,"1,534,866","1,534,866",0,"14,402,433","9,066,709","5,335,724","14,724,277","14,724,277",0,"10,029,667","9,485,325","544,342","10,956,205","10,956,205",0,"1,798,856","1,798,856",0
19,          Corporate income,"52,738,924","44,657,392","8,081,532","520,113","520,113",0,"87,775","87,775",0,"368,136","368,136",0,"396,989","396,989",0,"10,112,520","10,112,520",0,"528,541","528,541",0,"897,247","897,247",0,"246,175","246,175",0,"554,245",0,"554,245","2,383,783","2,383,783",0,"971,898","971,898",0,"184,840","184,840",0,"216,641","216,641",0,"2,877,499","2,877,499",0,"1,025,717","1,025,498",219,"432,020","432,020",0,"386,966","386,966",0,"639,254","458,650","180,604","291,321","291,321",0,"175,239","175,239",0,"1,001,934","1,001,934",0,"2,196,474","2,196,474",0,"1,195,399","1,195,399",0,"1,227,028","1,227,028",0,"407,913","407,913",0
20,          Motor vehicle license,"28,239,742","26,100,751","2,138,991","241,145","219,393","21,752","61,944","38,900","23,044","218,511","215,991","2,520","158,446","158,446",0,"4,317,538","4,261,054","56,484","622,693","536,975","85,718","235,105","235,105",0,"57,982","57,982",0,"45,915",0,"45,915","1,374,140","1,374,140",0,"364,255","364,255",0,"380,497","187,986","192,511","196,235","187,156","9,079","1,769,356","1,728,151","41,205","350,112","284,202","65,910","658,596","637,933","20,663","254,378","224,198","30,180","212,830","208,389","4,441","86,882","83,002","3,880","109,890","109,723",167,"501,360","501,360",0,"438,855","438,855",0,"1,191,927","1,191,927",0,"808,400","790,116","18,284","158,099","158,099",0
