,Description,United States Total,,,Alabama,,,Alaska,,,Arizona,,,Arkansas,,,California,,,Colorado,,,Connecticut,,,Delaware,,,District of Columbia,,,Florida,,,Georgia,,,Hawaii,,,Idaho,,,Illinois,,,Indiana,,,Iowa,,,Kansas,,,Kentucky,,,Louisiana,,,Maine,,,Maryland,,,Massachusetts,,,Michigan,,,Minnesota,,,Mississippi,,
,,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local
,,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1
,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2.00,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Line,Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78
55,     Intergovernmental expenditure1,"3,258,513","553,351,057","16,882,228",0,"6,931,626","35,745",0,"1,829,640",225,0,"10,030,152","398,622",175,"5,426,820","19,416","2,886,443","107,877,299","893,562","2,016","7,461,561","34,220",0,"5,556,846","4,006","1,026","1,605,571","1,344",0,0,0,0,"18,243,072","290,944",0,"12,325,495","21,602",382,"328,020",0,0,"2,408,796","3,303","5,763","21,279,029",73,"2,125","9,989,433","14,986",0,"5,362,687","28,265",62,"4,860,130","5,433",0,"4,875,403","8,589",0,"6,415,070","25,898",0,"1,306,593","2,320",0,"9,686,617",58,"12,328","9,167,867","423,282","5,368","21,279,004","299,818",348,"13,728,116","88,046",0,"4,837,458",978
56,     Direct expenditure,"3,660,083,177","1,763,577,712","1,896,505,465","48,700,302","25,568,563","23,131,739","14,930,662","9,466,632","5,464,029","58,536,457","29,499,507","29,036,949","27,713,994","17,272,642","10,441,352","563,894,932","242,020,607","321,874,326","60,833,740","27,710,726","33,123,015","40,974,389","22,296,264","18,678,125","12,014,401","8,332,231","3,682,170","18,555,021",0,"18,555,021","177,051,803","72,058,799","104,993,004","85,130,589","37,279,054","47,851,535","16,782,640","12,354,473","4,428,167","13,177,791","7,168,783","6,009,008","146,846,752","66,386,086","80,460,665","58,653,968","30,827,721","27,826,247","35,147,502","17,415,602","17,731,900","30,553,756","14,737,791","15,815,964","46,102,593","30,593,059","15,509,536","48,980,339","27,352,936","21,627,403","12,826,381","7,716,911","5,109,470","69,639,107","35,755,624","33,883,483","92,823,286","56,157,952","36,665,333","98,792,163","50,858,588","47,933,575","68,334,336","33,463,647","34,870,688","30,035,373","17,023,221","13,012,152"
57,          Current operations,"2,764,305,938","1,241,555,416","1,522,750,522","37,348,454","17,680,410","19,668,044","10,798,970","6,557,649","4,241,321","45,635,515","22,000,104","23,635,411","21,928,695","13,356,520","8,572,175","423,054,384","169,428,913","253,625,471","43,914,048","18,640,635","25,273,413","28,858,757","13,315,998","15,542,759","9,381,629","6,252,583","3,129,046","12,940,577",0,"12,940,577","138,416,699","52,218,114","86,198,585","64,707,900","25,574,357","39,133,543","12,445,597","9,715,969","2,729,628","10,457,493","5,257,363","5,200,130","101,697,575","40,422,751","61,274,824","46,889,809","23,420,878","23,468,931","26,631,967","12,046,391","14,585,576","23,512,800","10,931,043","12,581,757","34,578,466","22,105,249","12,473,217","37,110,880","19,159,209","17,951,671","10,478,947","5,952,841","4,526,106","54,278,159","25,232,108","29,046,051","70,769,120","40,612,161","30,156,959","77,687,599","37,258,268","40,429,331","50,984,607","24,205,507","26,779,100","23,904,288","12,484,931","11,419,357"
58,          Capital outlay,"364,614,267","131,634,854","232,979,413","4,450,175","1,982,995","2,467,180","2,221,049","1,175,802","1,045,247","5,203,560","1,623,091","3,580,469","2,741,596","1,317,326","1,424,270","44,301,609","8,776,504","35,525,105","7,673,537","1,912,174","5,761,363","3,993,864","2,188,130","1,805,734","1,205,080","815,725","389,355","4,286,374",0,"4,286,374","19,865,388","7,667,278","12,198,110","9,294,375","3,311,812","5,982,563","2,323,574","916,741","1,406,833","1,161,307","457,908","703,399","14,838,994","5,520,004","9,318,990","5,325,350","2,235,972","3,089,378","4,620,522","1,918,641","2,701,881","3,862,218","1,505,017","2,357,201","4,289,314","2,176,827","2,112,487","4,809,423","2,098,332","2,711,091","863,520","399,970","463,550","5,955,435","3,362,921","2,592,514","8,642,230","4,863,712","3,778,518","6,869,531","2,529,535","4,339,996","8,547,645","1,995,770","6,551,875","2,399,763","1,077,773","1,321,990"
59,               Construction,"291,615,653","112,129,324","179,486,329","3,330,753","1,496,511","1,834,242","1,944,305","1,027,178","917,127","4,232,414","1,289,909","2,942,505","2,257,958","1,187,093","1,070,865","35,523,621","7,553,363","27,970,258","6,182,132","1,525,448","4,656,684","3,436,461","1,904,830","1,531,631","1,050,279","716,992","333,287","2,672,510",0,"2,672,510","15,467,144","7,225,763","8,241,381","7,679,072","2,787,900","4,891,172","1,502,562","254,400","1,248,162","829,868","356,703","473,165","11,686,113","5,130,935","6,555,178","3,646,047","1,812,346","1,833,701","3,853,442","1,649,074","2,204,368","3,233,614","1,365,857","1,867,757","3,475,764","1,950,315","1,525,449","3,782,581","1,643,063","2,139,518","720,639","360,481","360,158","5,182,626","2,822,439","2,360,187","6,245,056","4,238,591","2,006,465","4,851,604","2,102,618","2,748,986","6,026,921","1,475,576","4,551,345","1,886,110","953,326","932,784"
60,               Other capital outlay,"72,998,614","19,505,530","53,493,084","1,119,422","486,484","632,938","276,744","148,624","128,120","971,146","333,182","637,964","483,638","130,233","353,405","8,777,988","1,223,141","7,554,847","1,491,405","386,726","1,104,679","557,403","283,300","274,103","154,801","98,733","56,068","1,613,864",0,"1,613,864","4,398,244","441,515","3,956,729","1,615,303","523,912","1,091,391","821,012","662,341","158,671","331,439","101,205","230,234","3,152,881","389,069","2,763,812","1,679,303","423,626","1,255,677","767,080","269,567","497,513","628,604","139,160","489,444","813,550","226,512","587,038","1,026,842","455,269","571,573","142,881","39,489","103,392","772,809","540,482","232,327","2,397,174","625,121","1,772,053","2,017,927","426,917","1,591,010","2,520,724","520,194","2,000,530","513,653","124,447","389,206"
61,          Assistance and subsidies,"59,758,229","49,175,296","10,582,933","2,024,436","2,024,435",1,"158,727","158,721",6,"1,014,171","1,009,896","4,275","459,974","459,974",0,"11,716,158","5,316,416","6,399,742","906,697","817,236","89,461","499,849","499,179",670,"337,898","337,898",0,"162,994",0,"162,994","1,861,192","1,842,677","18,515","1,256,042","1,256,042",0,"161,351","118,899","42,452","159,954","159,842",112,"1,655,554","1,655,554",0,"1,383,921","1,382,810","1,111","614,736","614,507",229,"208,839","208,775",64,"1,104,180","1,104,180",0,"636,289","636,171",118,"174,690","167,960","6,730","1,596,700","1,596,700",0,"1,022,829","1,022,829",0,"1,450,168","1,449,111","1,057","1,310,415","1,093,828","216,587","399,073","398,739",334
62,          Interest on debt,"122,463,147","46,227,269","76,235,878","1,151,829","389,784","762,045","346,194","200,904","145,290","1,900,831","551,540","1,349,291","553,141","159,122","394,019","20,177,031","7,069,122","13,107,909","2,332,674","728,595","1,604,079","1,982,808","1,539,729","443,079","303,214","221,714","81,500","595,785",0,"595,785","4,930,009","1,016,040","3,913,969","2,348,469","592,853","1,755,616","363,172","113,918","249,254","244,689","141,616","103,073","7,477,026","3,494,857","3,982,169","2,072,095","906,413","1,165,682","646,382","206,539","439,843","942,866","180,129","762,737","1,489,574","645,169","844,405","1,531,311","819,413","711,898","281,111","168,027","113,084","1,967,450","1,196,674","770,776","3,467,411","2,844,746","622,665","2,937,835","1,548,062","1,389,773","1,795,992","629,515","1,166,477","586,252","315,781","270,471"
63,          Insurance benefits and repayments,"348,941,596","294,984,877","53,956,719","3,725,408","3,490,939","234,469","1,405,722","1,373,556","32,165","4,782,380","4,314,876","467,503","2,030,588","1,979,700","50,888","64,645,750","51,429,652","13,216,099","6,006,784","5,612,086","394,699","5,639,111","4,753,228","885,883","786,580","704,311","82,269","569,291",0,"569,291","11,978,515","9,314,690","2,663,825","7,523,803","6,543,990","979,813","1,488,946","1,488,946",0,"1,154,348","1,152,054","2,294","21,177,603","15,292,920","5,884,682","2,982,793","2,881,648","101,145","2,633,895","2,629,524","4,371","2,027,033","1,912,827","114,205","4,641,059","4,561,634","79,427","4,892,436","4,639,811","252,625","1,028,113","1,028,113",0,"5,841,363","4,367,221","1,474,142","8,921,696","6,814,504","2,107,191","9,847,030","8,073,612","1,773,418","5,695,677","5,539,027","156,649","2,745,997","2,745,997",0
64,          Exhibit: Salaries and wages,"965,034,670","276,286,035","688,748,635","13,382,576","4,993,146","8,389,430","3,556,022","1,722,908","1,833,114","15,268,947","4,090,546","11,178,401","7,168,071","3,021,356","4,146,715","144,751,981","35,724,680","109,027,302","17,220,253","5,524,694","11,695,558","13,035,104","4,703,603","8,331,500","2,786,817","1,424,947","1,361,869","4,225,336",0,"4,225,336","44,936,566","9,319,466","35,617,100","24,631,210","6,727,701","17,903,509","4,477,381","3,332,128","1,145,253","4,086,475","1,470,850","2,615,625","38,696,078","8,263,433","30,432,645","15,443,949","4,734,559","10,709,390","10,396,478","3,573,499","6,822,979","9,473,950","2,951,778","6,522,172","11,118,463","4,373,043","6,745,421","11,943,576","4,032,844","7,910,733","3,366,638","1,069,274","2,297,363","19,778,365","5,438,899","14,339,466","22,205,833","7,455,911","14,749,922","25,378,340","9,975,830","15,402,511","17,790,339","5,679,113","12,111,227","7,876,875","2,610,909","5,265,966"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Direct expenditure by function,"3,660,083,177","1,763,577,712","1,896,505,465","48,700,302","25,568,563","23,131,739","14,930,662","9,466,632","5,464,029","58,536,457","29,499,507","29,036,949","27,713,994","17,272,642","10,441,352","563,894,932","242,020,607","321,874,326","60,833,740","27,710,726","33,123,015","40,974,389","22,296,264","18,678,125","12,014,401","8,332,231","3,682,170","18,555,021",0,"18,555,021","177,051,803","72,058,799","104,993,004","85,130,589","37,279,054","47,851,535","16,782,640","12,354,473","4,428,167","13,177,791","7,168,783","6,009,008","146,846,752","66,386,086","80,460,665","58,653,968","30,827,721","27,826,247","35,147,502","17,415,602","17,731,900","30,553,756","14,737,791","15,815,964","46,102,593","30,593,059","15,509,536","48,980,339","27,352,936","21,627,403","12,826,381","7,716,911","5,109,470","69,639,107","35,755,624","33,883,483","92,823,286","56,157,952","36,665,333","98,792,163","50,858,588","47,933,575","68,334,336","33,463,647","34,870,688","30,035,373","17,023,221","13,012,152"
66,     Direct general expenditure,"3,071,187,371","1,433,368,621","1,637,818,750","41,514,553","21,748,505","19,766,048","12,722,989","7,949,326","4,773,663","48,201,299","25,157,248","23,044,051","24,703,243","15,292,942","9,410,301","455,468,931","188,847,586","266,621,345","50,314,660","22,083,568","28,231,092","33,913,841","17,028,290","16,885,551","10,687,791","7,468,973","3,218,818","13,255,086",0,"13,255,086","154,091,705","62,403,880","91,687,825","71,553,555","30,663,161","40,890,394","14,005,727","10,865,527","3,140,200","11,629,994","5,889,492","5,740,502","117,228,874","51,087,985","66,140,889","53,021,639","27,946,073","25,075,566","31,010,331","14,573,146","16,437,185","26,928,352","12,824,964","14,103,388","39,402,484","25,994,482","13,408,002","42,713,214","22,705,116","20,008,098","11,618,716","6,667,873","4,950,843","60,525,397","30,131,329","30,394,068","77,578,380","46,081,458","31,496,922","85,080,960","41,912,205","43,168,755","59,021,996","27,447,128","31,574,868","26,154,124","13,989,745","12,164,379"
67,          Capital outlay,"311,452,049","123,488,970","187,963,079","4,013,076","1,982,995","2,030,081","1,939,899","1,150,618","789,281","3,914,331","1,623,036","2,291,295","2,578,212","1,317,326","1,260,886","34,081,218","8,265,243","25,815,975","6,194,503","1,912,174","4,282,329","3,696,431","2,053,915","1,642,516","1,158,083","793,158","364,925","1,550,998",0,"1,550,998","18,026,829","7,545,524","10,481,305","8,419,784","3,311,812","5,107,972","1,601,373","916,741","684,632","1,090,921","457,908","633,013","12,895,529","5,519,994","7,375,535","4,847,450","2,235,972","2,611,478","4,394,722","1,918,641","2,476,081","3,535,452","1,505,017","2,030,435","3,975,326","2,176,817","1,798,509","4,630,756","2,098,327","2,532,429","830,875","399,970","430,905","4,998,584","2,821,738","2,176,846","6,991,222","3,631,402","3,359,820","6,334,696","2,529,535","3,805,161","7,919,932","1,890,568","6,029,364","2,274,707","1,077,773","1,196,934"
68,          Other direct general expenditure,"2,759,735,322","1,309,879,651","1,449,855,671","37,501,477","19,765,510","17,735,967","10,783,090","6,798,708","3,984,382","44,286,968","23,534,212","20,752,756","22,125,031","13,975,616","8,149,415","421,387,713","180,582,343","240,805,370","44,120,157","20,171,394","23,948,763","30,217,410","14,974,375","15,243,035","9,529,708","6,675,815","2,853,893","11,704,088",0,"11,704,088","136,064,876","54,858,356","81,206,520","63,133,771","27,351,349","35,782,422","12,404,354","9,948,786","2,455,568","10,539,073","5,431,584","5,107,489","104,333,345","45,567,991","58,765,354","48,174,189","25,710,101","22,464,088","26,615,609","12,654,505","13,961,104","23,392,900","11,319,947","12,072,953","35,427,158","23,817,665","11,609,493","38,082,458","20,606,789","17,475,669","10,787,841","6,267,903","4,519,938","55,526,813","27,309,591","28,217,222","70,587,158","42,450,056","28,137,102","78,746,264","39,382,670","39,363,594","51,102,064","25,556,560","25,545,504","23,879,417","12,911,972","10,967,445"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,               Education,"1,010,131,385","313,312,881","696,818,504","14,067,061","6,212,838","7,854,223","3,279,234","1,393,110","1,886,124","15,107,002","5,657,153","9,449,849","8,309,697","3,177,291","5,132,406","131,235,701","35,945,017","95,290,684","17,409,028","7,195,583","10,213,445","13,481,233","4,123,186","9,358,047","3,984,424","1,932,307","2,052,117","2,906,833",0,"2,906,833","42,786,873","11,301,597","31,485,276","28,063,419","8,194,518","19,868,901","3,409,590","3,409,590",0,"3,563,317","1,219,311","2,344,006","37,803,238","8,487,659","29,315,579","17,820,414","7,600,675","10,219,739","11,067,227","3,424,195","7,643,032","9,810,772","3,036,534","6,774,238","12,875,672","6,250,096","6,625,576","12,350,810","4,272,401","8,078,409","3,549,154","1,007,124","2,542,030","20,807,393","5,724,469","15,082,924","23,161,744","7,134,443","16,027,301","30,736,448","11,698,327","19,038,121","19,717,469","6,712,858","13,004,611","8,179,810","2,803,476","5,376,334"
70,                    Capital outlay,"98,066,605","30,496,735","67,569,870","1,263,015","626,747","636,268","325,599","227,297","98,302","1,235,219","568,378","666,841","740,474","221,452","519,022","11,207,533","2,526,596","8,680,937","2,053,955","856,392","1,197,563","1,057,663","604,630","453,033","308,566","177,110","131,456","421,748",0,"421,748","3,047,166","548,462","2,498,704","2,824,212","875,567","1,948,645","374,577","374,577",0,"160,429","33,385","127,044","2,475,625","343,453","2,132,172","1,806,196","757,066","1,049,130","1,271,539","345,776","925,763","1,504,174","605,121","899,053","1,364,506","608,553","755,953","1,016,403","342,850","673,553","198,029","50,430","147,599","1,945,417","504,556","1,440,861","2,217,369","978,975","1,238,394","3,011,711","1,527,390","1,484,321","2,579,131","437,825","2,141,306","747,012","279,509","467,503"
71,                 Higher education,"296,452,409","253,093,494","43,358,915","5,111,951","5,111,951",0,"847,344","828,294","19,050","6,051,870","4,845,788","1,206,082","2,634,939","2,634,939",0,"41,476,361","29,562,451","11,913,910","6,451,855","6,188,090","263,765","3,399,896","3,399,896",0,"1,452,945","1,452,945",0,"124,602",0,"124,602","11,010,116","7,874,697","3,135,419","6,013,401","6,013,401",0,"1,206,613","1,206,613",0,"1,126,817","987,449","139,368","9,199,980","6,474,606","2,725,374","6,427,255","6,427,255",0,"3,867,947","2,907,163","960,784","3,491,121","2,743,017","748,104","4,479,553","4,479,553",0,"3,478,033","3,478,033",0,"782,344","782,344",0,"6,276,297","4,891,106","1,385,191","5,542,088","5,505,794","36,294","11,861,290","10,257,050","1,604,240","5,693,338","5,693,338",0,"3,020,360","2,265,138","755,222"
72,                    Capital outlay,"33,974,944","29,270,438","4,704,506","615,008","615,008",0,"155,041","154,611",430,"660,215","567,050","93,165","221,281","221,281",0,"3,808,862","2,524,847","1,284,015","876,323","848,926","27,397","548,966","548,966",0,"171,923","171,923",0,0,0,0,"748,168","544,307","203,861","806,437","806,437",0,"175,863","175,863",0,"47,443","31,595","15,848","584,345","337,962","246,383","755,409","755,409",0,"464,071","345,179","118,892","646,608","603,592","43,016","607,997","607,997",0,"336,301","336,301",0,"49,685","49,685",0,"704,205","502,403","201,802","964,904","964,904",0,"1,685,216","1,527,109","158,107","437,337","437,337",0,"367,421","278,589","88,832"
73,                 Elementary & secondary,"660,443,393","6,983,804","653,459,589","7,854,223",0,"7,854,223","2,346,857","479,783","1,867,074","8,243,834",67,"8,243,767","5,132,406",0,"5,132,406","83,376,774",0,"83,376,774","9,949,680",0,"9,949,680","9,358,047",0,"9,358,047","2,052,117",0,"2,052,117","2,782,231",0,"2,782,231","28,349,857",0,"28,349,857","19,868,901",0,"19,868,901","2,068,737","2,068,737",0,"2,204,638",0,"2,204,638","26,590,205",0,"26,590,205","10,219,739",0,"10,219,739","6,682,248",0,"6,682,248","6,026,134",0,"6,026,134","7,322,005","696,429","6,625,576","8,084,707","6,298","8,078,409","2,560,962","18,932","2,542,030","13,697,742",9,"13,697,733","16,239,532","248,525","15,991,007","17,433,881",0,"17,433,881","13,004,611",0,"13,004,611","4,621,112",0,"4,621,112"
74,                    Capital outlay,"63,671,270","805,906","62,865,364","636,268",0,"636,268","170,054","72,182","97,872","573,743",67,"573,676","519,022",0,"519,022","7,396,922",0,"7,396,922","1,170,166",0,"1,170,166","453,033",0,"453,033","131,456",0,"131,456","421,748",0,"421,748","2,294,843",0,"2,294,843","1,948,645",0,"1,948,645","198,214","198,214",0,"111,196",0,"111,196","1,885,789",0,"1,885,789","1,049,130",0,"1,049,130","806,871",0,"806,871","856,037",0,"856,037","755,997",44,"755,953","673,664",111,"673,553","148,092",493,"147,599","1,239,068",9,"1,239,059","1,238,834",440,"1,238,394","1,326,214",0,"1,326,214","2,141,306",0,"2,141,306","378,671",0,"378,671"
75,                 Other education,"53,235,583","53,235,583",0,"1,100,887","1,100,887",0,"85,033","85,033",0,"811,298","811,298",0,"542,352","542,352",0,"6,382,566","6,382,566",0,"1,007,493","1,007,493",0,"723,290","723,290",0,"479,362","479,362",0,0,0,0,"3,426,900","3,426,900",0,"2,181,117","2,181,117",0,"134,240","134,240",0,"231,862","231,862",0,"2,013,053","2,013,053",0,"1,173,420","1,173,420",0,"517,032","517,032",0,"293,517","293,517",0,"1,074,114","1,074,114",0,"788,070","788,070",0,"205,848","205,848",0,"833,354","833,354",0,"1,380,124","1,380,124",0,"1,441,277","1,441,277",0,"1,019,520","1,019,520",0,"538,338","538,338",0
76,               Libraries,"12,589,903","413,935","12,175,968","95,567","5,033","90,534","37,943","4,794","33,149","183,189","1,894","181,295","103,780","2,643","101,137","1,575,205","23,667","1,551,538","317,176","5,801","311,375","166,040","10,705","155,335","55,848","8,519","47,329","93,064",0,"93,064","573,332","9,668","563,664","191,391","13,696","177,695","36,631","36,631",0,"65,100","4,871","60,229","835,153","4,847","830,306","356,290","8,389","347,901","139,904","3,392","136,512","132,416","3,419","128,997","193,617","8,804","184,813","189,634","4,758","184,876","42,568","4,215","38,353","188,561","20,125","168,436","311,950","16,474","295,476","403,509","10,186","393,323","273,458",0,"273,458","61,781","4,191","57,590"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,               Public welfare,"678,237,615","620,659,942","57,577,673","8,484,165","8,442,205","41,960","2,576,874","2,566,994","9,880","14,505,216","14,387,254","117,962","7,437,640","7,415,910","21,730","111,893,352","93,559,979","18,333,373","8,351,923","7,522,736","829,187","3,817,320","3,717,906","99,414","2,509,140","2,508,183",957,"3,929,827",0,"3,929,827","28,081,344","26,989,511","1,091,833","12,157,978","12,039,286","118,692","3,085,713","2,984,652","101,061","2,522,364","2,491,912","30,452","22,675,525","22,082,348","593,177","13,944,139","13,922,934","21,205","5,650,141","5,569,164","80,977","4,138,700","4,095,937","42,763","11,446,499","11,405,853","40,646","11,309,018","11,226,836","82,182","3,196,426","3,146,569","49,857","13,201,818","13,042,965","158,853","22,248,754","22,154,901","93,853","17,088,655","15,739,922","1,348,733","14,917,386","13,428,470","1,488,916","6,369,340","6,341,694","27,646"
78,                    Cash assistance payments,"24,188,985","13,606,052","10,582,933","1,274,856","1,274,855",1,"121,869","121,863",6,"264,094","259,819","4,275","6,772","6,772",0,"6,399,742",0,"6,399,742","106,560","17,099","89,461","179,599","178,929",670,"36,790","36,790",0,"162,994",0,"162,994","218,530","200,015","18,515","112,744","112,744",0,"46,249","3,797","42,452","59,298","59,186",112,"123,576","123,576",0,"366,585","365,474","1,111","235,636","235,407",229,"55,205","55,141",64,"177,036","177,036",0,"31,818","31,700",118,"52,334","45,604","6,730","1,268,025","1,268,025",0,"463,428","463,428",0,"248,691","247,634","1,057","591,980","375,393","216,587","58,797","58,463",334
79,                    Vendor payments,"561,648,880","555,739,388","5,909,492","6,480,293","6,480,176",117,"2,103,003","2,103,003",0,"11,131,826","11,119,723","12,103","6,865,611","6,865,611",0,"89,173,486","88,987,920","185,566","6,897,941","6,867,449","30,492","2,547,640","2,547,326",314,"2,125,389","2,125,389",0,"3,048,546",0,"3,048,546","25,013,680","24,950,036","63,644","10,827,745","10,827,745",0,"2,540,770","2,531,912","8,858","2,125,156","2,110,218","14,938","19,277,465","19,265,382","12,083","12,448,815","12,446,073","2,742","4,875,152","4,862,085","13,067","3,463,504","3,462,740",764,"10,347,861","10,347,861",0,"10,445,245","10,445,245",0,"2,361,877","2,361,674",203,"10,766,705","10,766,705",0,"20,215,638","20,215,638",0,"13,621,240","13,129,755","491,485","12,069,398","11,979,910","89,488","5,940,594","5,940,590",4
80,                    Other public welfare,"92,399,750","51,314,502","41,085,248","729,016","687,174","41,842","352,002","342,128","9,874","3,109,296","3,007,712","101,584","565,257","543,527","21,730","16,320,124","4,572,059","11,748,065","1,347,422","638,188","709,234","1,090,081","991,651","98,430","346,961","346,004",957,"718,287",0,"718,287","2,849,134","1,839,460","1,009,674","1,217,489","1,098,797","118,692","498,694","448,943","49,751","337,910","322,508","15,402","3,274,484","2,693,390","581,094","1,128,739","1,111,387","17,352","539,353","471,672","67,681","619,991","578,056","41,935","921,602","880,956","40,646","831,955","749,891","82,064","782,215","739,291","42,924","1,167,088","1,008,235","158,853","1,569,688","1,475,835","93,853","3,218,724","2,362,533","856,191","2,256,008","1,073,167","1,182,841","369,949","342,641","27,308"
81,               Hospitals,"191,135,321","84,004,704","107,130,617","6,311,087","2,219,688","4,091,399","455,612","28,907","426,705","789,376","4,742","784,634","1,283,810","1,074,930","208,880","29,616,892","13,426,724","16,190,168","2,789,291","1,035,530","1,753,761","1,437,042","1,437,042",0,"83,059","83,059",0,"263,983",0,"263,983","9,758,553","1,215,464","8,543,089","4,776,476","1,163,738","3,612,738","617,857","617,857",0,"670,482","52,251","618,231","3,208,788","912,593","2,296,195","4,478,614","140,733","4,337,881","3,890,487","1,860,304","2,030,183","3,587,021","2,681,576","905,445","2,497,560","1,885,855","611,705","2,623,650","356,728","2,266,922","211,708","99,672","112,036","591,765","538,467","53,298","1,577,729","716,525","861,204","5,292,837","4,385,475","907,362","1,995,234","313,866","1,681,368","3,970,705","1,494,735","2,475,970"
82,                    Capital outlay,"8,969,056","3,497,133","5,471,923","359,788","110,473","249,315","15,811",0,"15,811","30,046",7,"30,039","40,472","19,593","20,879","1,415,703","730,498","685,205","192,063","1,986","190,077","54,057","54,057",0,633,633,0,"22,813",0,"22,813","640,011","84,679","555,332","249,571","7,715","241,856","2,142","2,142",0,"71,865",767,"71,098","63,331","36,628","26,703","278,769","1,174","277,595","416,305","256,327","159,978","262,275","202,402","59,873","182,832","149,513","33,319","115,054","3,854","111,200","1,015",8,"1,007","8,790","2,745","6,045","51,364","33,035","18,329","23,196","1,340","21,856","54,645","2,352","52,293","149,095","24,694","124,401"
83,               Health,"99,826,957","43,275,857","56,551,100","840,668","414,843","425,825","223,502","146,403","77,099","801,956","497,416","304,540","247,620","172,823","74,797","22,984,538","1,324,842","21,659,696","844,094","381,476","462,618","1,062,277","905,589","156,688","489,645","449,850","39,795","396,883",0,"396,883","5,511,302","3,949,078","1,562,224","2,286,321","1,249,039","1,037,282","592,853","550,126","42,727","263,060","146,100","116,960","2,045,873","1,099,126","946,747","808,066","549,116","258,950","444,090","109,761","334,329","652,453","341,880","310,573","908,260","365,503","542,757","635,776","421,737","214,039","244,909","201,820","43,089","1,572,504","1,054,637","517,867","1,572,087","1,412,304","159,783","4,145,378","1,487,816","2,657,562","1,265,622","406,046","859,576","391,117","296,287","94,830"
84,               Employment security administration,"3,913,871","3,872,192","41,679","98,473","98,473",0,"22,119","22,119",0,0,0,0,"87,782","87,782",0,"314,707","314,707",0,"59,940","59,940",0,"21,090","21,090",0,"17,165","17,165",0,"41,679",0,"41,679","314,357","314,357",0,"35,082","35,082",0,"6,310","6,310",0,"8,386","8,386",0,"50,778","50,778",0,"83,162","83,162",0,"52,854","52,854",0,"31,119","31,119",0,"131,721","131,721",0,"127,964","127,964",0,"67,344","67,344",0,"51,021","51,021",0,"197,482","197,482",0,"176,102","176,102",0,"45,446","45,446",0,"72,173","72,173",0
