Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
Union College (N.Y.)Baccalaureate | NY,209,42.60%,0.00%,6.70%,1.90%,4.30%,0.00%,84.70%,0.00%,0.00%,2.40%,12.90%
University of the CumberlandsDoctoral | KY,209,46.90%,0.00%,1.90%,6.70%,1.00%,0.00%,86.60%,0.50%,3.40%,0.00%,10.10%
Southwestern College (Calif.)Associate | CA,209,59.30%,0.50%,6.70%,3.80%,23.90%,3.80%,54.50%,1.00%,5.70%,0.00%,39.70%
Seminole State College of FloridaAssociate | FL,209,61.70%,0.00%,4.30%,7.20%,9.10%,0.50%,78.50%,0.50%,0.00%,0.00%,21.50%
United States Air Force AcademyBaccalaureate | CO,208,32.70%,0.00%,3.90%,1.40%,1.90%,0.00%,92.80%,0.00%,0.00%,0.00%,7.20%
Midwestern University (Ill.)Special-Focus | IL,208,57.70%,0.00%,12.50%,2.90%,6.30%,0.50%,72.10%,2.40%,0.00%,3.40%,24.50%
Worcester State UniversityMaster's | MA,207,56.50%,0.00%,8.70%,3.40%,7.70%,0.50%,78.70%,0.50%,0.00%,0.50%,20.80%
Oakland Community CollegeAssociate | MI,207,50.70%,1.00%,2.90%,9.20%,0.00%,0.00%,86.50%,0.50%,0.00%,0.00%,13.50%
Capella UniversityDoctoral | MN,207,64.30%,1.90%,2.40%,6.80%,2.90%,0.00%,84.10%,1.90%,0.00%,0.00%,15.90%
University of Arkansas for Medical SciencesSpecial-Focus | AR,207,56.50%,0.00%,10.10%,5.80%,1.50%,0.50%,79.20%,0.00%,1.00%,1.90%,17.90%
Clarion University of PennsylvaniaMaster's | PA,207,53.10%,0.00%,5.80%,2.90%,2.90%,0.00%,86.50%,0.00%,0.00%,1.90%,11.60%
Central Texas CollegeAssociate | TX,206,46.10%,0.00%,1.50%,12.60%,11.20%,1.90%,70.40%,2.40%,0.00%,0.00%,29.60%
Clark UniversityDoctoral | MA,206,46.10%,0.00%,10.70%,4.40%,4.90%,0.00%,70.90%,0.00%,0.00%,9.20%,19.90%
Emerson CollegeMaster's | MA,206,44.70%,0.00%,4.90%,8.70%,4.90%,0.00%,72.30%,1.00%,7.30%,1.00%,19.40%
Cypress CollegeAssociate | CA,206,55.80%,0.00%,14.60%,3.90%,18.90%,0.50%,46.60%,4.40%,8.70%,2.40%,42.20%
Walden UniversityDoctoral | MN,206,68.90%,0.00%,3.90%,12.60%,1.50%,0.00%,73.80%,2.40%,5.80%,0.00%,20.40%
University of Hawaii at HiloMaster's | HI,206,48.10%,0.50%,26.70%,1.00%,2.40%,7.80%,54.90%,2.40%,0.00%,4.40%,40.80%
Arizona State University-PolytechnicMaster's | AZ,206,41.30%,0.00%,11.70%,3.40%,5.80%,0.00%,70.90%,1.50%,1.00%,5.80%,22.30%
Mercy CollegeMaster's | NY,205,60.00%,0.00%,12.20%,9.30%,5.90%,0.00%,71.20%,0.50%,1.00%,0.00%,27.80%
Harper CollegeAssociate | IL,205,59.50%,0.00%,5.90%,3.90%,3.90%,0.00%,82.00%,0.50%,2.90%,1.00%,14.10%
Bowie State UniversityMaster's | MD,205,54.60%,0.00%,4.90%,61.50%,6.30%,0.00%,17.10%,0.50%,8.30%,1.50%,73.20%
University of Illinois at SpringfieldMaster's | IL,204,44.60%,0.50%,8.30%,3.90%,2.50%,0.00%,72.50%,1.50%,1.00%,9.80%,16.70%
University of Maryland-Eastern ShoreDoctoral | MD,204,42.60%,0.00%,20.10%,35.80%,3.40%,1.00%,34.30%,2.00%,0.50%,2.90%,62.30%
Oklahoma City UniversityMaster's | OK,204,51.00%,1.50%,1.00%,1.50%,4.40%,0.50%,81.90%,2.00%,1.50%,5.90%,10.80%
Chemeketa Community CollegeAssociate | OR,204,52.40%,0.50%,1.50%,0.50%,4.90%,0.00%,72.50%,4.90%,14.20%,1.00%,12.30%
William Carey UniversityMaster's | MS,204,52.40%,0.50%,0.50%,7.80%,2.00%,0.50%,86.80%,2.00%,0.00%,0.00%,13.20%
Missouri Western State UniversityBaccalaureate | MO,204,43.60%,2.00%,5.90%,1.00%,1.50%,0.00%,81.40%,0.50%,0.50%,7.30%,10.80%
Los Angeles Valley CollegeAssociate | CA,204,52.90%,1.50%,10.80%,7.30%,15.70%,0.00%,56.40%,2.00%,5.90%,0.50%,37.30%
Rio Hondo CollegeAssociate | CA,203,52.70%,1.50%,10.80%,2.50%,34.50%,0.50%,45.30%,2.00%,2.00%,1.00%,51.70%
University of the District of ColumbiaMaster's | DC,203,53.70%,1.00%,13.30%,56.60%,1.00%,1.00%,25.10%,0.00%,2.00%,0.00%,72.90%
Macalester CollegeBaccalaureate | MN,203,53.70%,1.00%,9.40%,5.40%,7.90%,0.00%,70.40%,3.00%,0.50%,2.50%,26.60%
Bard CollegeBaccalaureate | NY,203,42.40%,0.00%,5.40%,4.40%,3.00%,0.00%,78.80%,0.00%,7.40%,1.00%,12.80%
Hamilton College (N.Y.)Baccalaureate | NY,203,51.70%,1.00%,11.30%,4.90%,5.90%,0.00%,74.90%,0.50%,1.00%,0.50%,23.60%
Robert Morris University (Pa.)Doctoral | PA,203,47.80%,0.00%,12.30%,2.50%,2.00%,0.00%,77.80%,2.00%,0.00%,3.50%,18.70%
Southwestern Oklahoma State UniversityMaster's | OK,202,52.50%,2.50%,4.50%,0.50%,2.50%,0.50%,83.70%,2.00%,0.00%,4.00%,12.40%
Lane Community CollegeAssociate | OR,202,60.40%,2.00%,3.00%,1.50%,3.50%,0.00%,84.70%,2.50%,3.00%,0.00%,12.40%
Pennsylvania State University at AltoonaBaccalaureate | PA,202,47.00%,0.00%,6.90%,1.50%,2.50%,0.00%,77.20%,1.00%,6.90%,4.00%,11.90%
Lansing Community CollegeAssociate | MI,202,46.50%,1.50%,5.50%,6.40%,2.00%,0.50%,81.70%,1.00%,1.00%,0.50%,16.80%
Brookdale Community CollegeAssociate | NJ,202,58.90%,0.00%,5.50%,5.50%,2.50%,0.50%,85.60%,0.00%,0.50%,0.00%,13.90%
Butte CollegeAssociate | CA,202,55.90%,1.00%,3.50%,2.00%,7.40%,0.00%,82.70%,0.50%,3.00%,0.00%,14.40%
Mt. San Jacinto CollegeAssociate | CA,202,53.50%,1.50%,8.40%,6.40%,18.30%,0.50%,60.90%,0.50%,3.50%,0.00%,35.60%
Connecticut CollegeBaccalaureate | CT,202,50.50%,0.50%,6.90%,5.50%,6.40%,0.00%,74.30%,0.00%,0.50%,5.90%,19.30%
Monroe College (N.Y.)Master's | NY,201,56.70%,0.00%,10.40%,40.30%,9.40%,0.00%,37.30%,2.50%,0.00%,0.00%,62.70%
Grinnell CollegeBaccalaureate | IA,201,47.80%,0.00%,9.00%,4.50%,5.50%,0.00%,76.10%,2.00%,0.00%,3.00%,20.90%
St. Ambrose UniversityMaster's | IA,200,54.00%,0.00%,9.50%,1.00%,2.50%,0.00%,86.50%,0.00%,0.50%,0.00%,13.00%
Fitchburg State UniversityMaster's | MA,200,49.50%,0.00%,8.50%,6.00%,2.00%,0.00%,83.50%,0.00%,0.00%,0.00%,16.50%
Framingham State UniversityMaster's | MA,200,57.50%,0.00%,8.00%,3.50%,4.50%,0.00%,82.00%,2.00%,0.00%,0.00%,18.00%
Baker College of FlintBaccalaureate | MI,200,71.50%,0.50%,2.50%,9.50%,0.00%,0.00%,87.50%,0.00%,0.00%,0.00%,12.50%
Eastern Connecticut State UniversityMaster's | CT,200,46.50%,0.50%,11.00%,8.50%,7.50%,0.00%,69.50%,1.50%,0.00%,1.50%,29.00%
George Fox UniversityMaster's | OR,199,44.20%,1.00%,6.50%,1.50%,4.00%,0.00%,82.40%,3.00%,1.00%,0.50%,16.10%
Pacific Lutheran UniversityMaster's | WA,199,53.80%,0.00%,7.50%,0.50%,5.00%,0.00%,83.90%,1.50%,0.00%,1.50%,14.60%
Howard Community CollegeAssociate | MD,199,62.80%,0.00%,9.60%,15.60%,2.50%,0.00%,70.90%,0.50%,0.50%,0.50%,28.10%
Webster UniversityMaster's | MO,199,47.20%,0.50%,8.00%,5.00%,0.50%,0.00%,79.40%,1.00%,3.00%,2.50%,15.10%
Plymouth State UniversityMaster's | NH,199,52.30%,0.00%,8.50%,0.50%,2.50%,0.00%,82.90%,0.00%,5.50%,0.00%,11.60%
Southwest Tennessee Community CollegeAssociate | TN,198,57.10%,0.00%,4.50%,31.80%,1.00%,0.00%,56.10%,2.50%,1.00%,3.00%,39.90%
Cosumnes River CollegeAssociate | CA,198,51.00%,1.50%,16.70%,6.60%,15.70%,0.00%,49.00%,4.00%,4.00%,2.50%,44.40%
Roosevelt UniversityMaster's | IL,198,43.40%,0.50%,1.50%,4.00%,3.00%,0.00%,65.70%,2.50%,6.60%,16.20%,11.60%
College of Lake CountyAssociate | IL,197,55.80%,0.00%,8.60%,7.60%,5.10%,0.00%,75.10%,1.00%,1.50%,1.00%,22.30%
Campbellsville UniversityMaster's | KY,197,53.30%,0.00%,0.50%,4.10%,1.50%,0.00%,81.20%,0.00%,10.70%,2.00%,6.10%
Merrimack CollegeMaster's | MA,197,54.30%,0.00%,8.10%,1.50%,3.00%,0.00%,83.30%,1.00%,0.00%,3.00%,13.70%
Springfield College (Mass.)Master's | MA,197,57.40%,0.00%,4.60%,6.10%,4.60%,0.00%,82.20%,0.00%,2.50%,0.00%,15.20%
Savannah State UniversityMaster's | GA,197,45.70%,0.00%,13.70%,44.20%,2.50%,0.50%,28.90%,0.00%,3.00%,7.10%,60.90%
Reedley CollegeAssociate | CA,196,53.10%,1.00%,6.60%,3.60%,29.10%,0.50%,53.60%,1.00%,4.60%,0.00%,41.80%
Babson CollegeSpecial-Focus | MA,196,40.30%,0.00%,12.80%,4.60%,0.50%,0.00%,79.60%,0.50%,0.00%,2.00%,18.40%
Macomb Community CollegeAssociate | MI,196,51.00%,0.00%,1.50%,2.00%,2.00%,0.00%,87.80%,0.00%,6.10%,0.50%,5.60%
Northwest Vista CollegeAssociate | TX,196,51.00%,0.00%,3.60%,1.50%,38.80%,0.00%,52.00%,4.10%,0.00%,0.00%,48.00%
Lock Haven UniversityMaster's | PA,195,48.70%,1.00%,6.70%,3.10%,3.10%,0.00%,84.10%,0.00%,0.50%,1.50%,13.90%
Messiah CollegeBaccalaureate | PA,195,41.00%,0.00%,3.60%,4.60%,0.50%,0.50%,87.20%,1.50%,2.10%,0.00%,10.80%
Bethel University (Minn.)Master's | MN,195,53.80%,0.50%,2.60%,4.10%,0.00%,0.00%,86.70%,3.10%,1.50%,1.50%,10.30%
Augustana College (Ill.)Baccalaureate | IL,195,50.30%,0.00%,8.70%,2.60%,3.10%,0.00%,82.00%,0.50%,2.10%,1.00%,14.90%
Indiana University-SoutheastMaster's | IN,195,54.40%,0.00%,10.30%,4.60%,1.00%,0.00%,83.10%,1.00%,0.00%,0.00%,16.90%
California Lutheran UniversityMaster's | CA,195,50.80%,0.00%,9.20%,5.60%,10.80%,0.00%,71.30%,1.50%,1.50%,0.00%,27.20%
Merced CollegeAssociate | CA,195,53.80%,0.50%,6.70%,5.10%,15.90%,0.00%,66.10%,1.50%,2.60%,1.50%,29.70%
MiraCosta Community College DistrictAssociate | CA,195,57.40%,0.50%,1.50%,4.60%,20.00%,0.00%,61.00%,1.00%,11.30%,0.00%,27.70%
Ashford UniversityMaster's | CA,194,62.90%,1.00%,4.10%,9.30%,3.10%,0.50%,73.20%,3.10%,5.10%,0.50%,21.10%
Grambling State UniversityMaster's | LA,193,49.20%,0.00%,10.40%,73.60%,1.00%,0.00%,11.90%,0.50%,1.60%,1.00%,85.50%
University of Maryland University CollegeMaster's | MD,193,44.60%,0.50%,7.80%,8.80%,2.60%,0.00%,68.40%,2.60%,7.80%,1.60%,22.30%
Wingate UniversityMaster's | NC,193,58.60%,0.00%,2.60%,6.20%,1.00%,0.00%,85.50%,0.00%,4.70%,0.00%,9.80%
Wilkes UniversityMaster's | PA,193,48.20%,0.00%,6.70%,2.10%,2.10%,0.00%,79.30%,1.00%,2.10%,6.70%,11.90%
Bellevue CollegeAssociate | WA,193,52.30%,1.60%,13.50%,3.10%,7.20%,0.00%,72.00%,1.60%,1.00%,0.00%,26.90%
St. Lawrence UniversityBaccalaureate | NY,193,49.70%,1.00%,5.70%,1.60%,4.70%,0.00%,77.70%,1.60%,1.60%,6.20%,14.50%
Molloy CollegeMaster's | NY,192,72.40%,0.00%,5.70%,8.30%,4.20%,0.00%,80.20%,1.60%,0.00%,0.00%,19.80%
Chicago State UniversityMaster's | IL,192,51.60%,0.00%,7.30%,40.10%,3.60%,0.00%,24.00%,0.00%,5.20%,19.80%,51.00%
Sullivan UniversityMaster's | KY,192,63.50%,0.00%,3.60%,7.80%,1.00%,0.00%,85.90%,1.00%,0.50%,0.00%,13.50%
Delta CollegeAssociate | MI,192,55.20%,1.00%,1.60%,3.10%,1.60%,0.00%,92.20%,0.50%,0.00%,0.00%,7.80%
Occidental CollegeBaccalaureate | CA,192,50.50%,0.00%,12.50%,7.30%,11.50%,0.00%,59.40%,1.60%,6.30%,1.60%,32.80%
Gallaudet UniversityMaster's | DC,191,62.30%,0.50%,10.00%,8.90%,5.20%,0.00%,68.10%,7.30%,0.00%,0.00%,31.90%
Edison State CollegeBaccalaureate | FL,191,55.50%,1.10%,3.70%,4.70%,2.60%,0.00%,85.30%,0.00%,0.50%,2.10%,12.00%
Pearl River Community CollegeAssociate | MS,190,66.80%,0.00%,0.00%,6.30%,0.50%,0.00%,92.60%,0.00%,0.50%,0.00%,6.80%
Medical University of South CarolinaSpecial-Focus | SC,190,61.10%,0.00%,3.20%,4.70%,3.20%,0.00%,85.30%,2.10%,1.10%,0.50%,13.20%
Moraine Valley Community CollegeAssociate | IL,190,60.00%,0.00%,2.10%,7.90%,2.60%,0.00%,87.40%,0.00%,0.00%,0.00%,12.60%
Lynchburg CollegeMaster's | VA,190,51.00%,0.00%,2.10%,1.60%,1.60%,0.00%,94.70%,0.00%,0.00%,0.00%,5.30%
Pikes Peak Community CollegeAssociate | CO,189,63.50%,0.00%,2.60%,4.20%,3.70%,0.00%,87.30%,0.00%,2.10%,0.00%,10.60%
Lee UniversityMaster's | TN,189,39.10%,0.50%,2.60%,0.50%,5.80%,0.00%,87.80%,0.00%,2.60%,0.00%,9.50%
Meharry Medical CollegeSpecial-Focus | TN,189,48.70%,0.00%,20.60%,62.40%,3.70%,0.00%,13.20%,0.00%,0.00%,0.00%,86.80%
Laredo Community CollegeAssociate | TX,188,45.20%,0.50%,4.30%,1.10%,81.40%,0.00%,12.20%,0.00%,0.50%,0.00%,87.20%
Keene State CollegeMaster's | NH,188,50.00%,0.00%,3.70%,2.10%,2.70%,0.00%,75.50%,2.70%,9.00%,4.30%,11.20%
Chabot CollegeAssociate | CA,188,48.90%,0.00%,15.40%,5.90%,17.00%,0.00%,51.60%,1.60%,4.80%,3.70%,39.90%
Clark CollegeAssociate | WA,187,59.90%,0.50%,4.80%,3.20%,0.50%,0.00%,84.50%,5.90%,0.50%,0.00%,15.00%
Waukesha County Technical CollegeAssociate | WI,187,51.90%,0.50%,0.50%,4.30%,3.20%,0.00%,89.80%,0.00%,1.60%,0.00%,8.60%
Willamette UniversityBaccalaureate | OR,187,46.00%,0.00%,7.00%,2.70%,9.60%,0.50%,74.30%,0.50%,5.30%,0.00%,20.30%
Muhlenberg CollegeBaccalaureate | PA,187,49.70%,0.00%,4.80%,3.20%,2.70%,0.00%,85.60%,0.50%,3.20%,0.00%,11.20%
Gustavus Adolphus CollegeBaccalaureate | MN,187,51.30%,0.00%,10.70%,1.60%,3.70%,0.00%,83.40%,0.00%,0.50%,0.00%,16.00%
Onondaga Community CollegeAssociate | NY,187,54.50%,0.00%,2.70%,4.80%,2.70%,1.60%,88.20%,0.00%,0.00%,0.00%,11.80%
Bluegrass Community and Technical CollegeAssociate | KY,187,58.30%,1.60%,0.50%,7.00%,0.50%,0.00%,88.20%,1.10%,0.50%,0.50%,10.70%
Rose-Hulman Institute of TechnologySpecial-Focus | IN,186,23.70%,0.00%,10.20%,3.20%,2.70%,0.00%,81.70%,0.00%,0.00%,2.10%,16.10%
City University of New York York CollegeBaccalaureate | NY,186,48.90%,0.00%,14.50%,22.60%,9.10%,0.00%,51.10%,0.00%,0.00%,2.70%,46.20%
D'Youville CollegeMaster's | NY,186,67.70%,0.00%,5.40%,2.10%,0.50%,0.00%,91.90%,0.00%,0.00%,0.00%,8.10%
Nazareth College of Rochester (N.Y.)Master's | NY,186,64.00%,0.50%,4.80%,4.30%,4.30%,0.00%,83.30%,0.00%,0.00%,2.70%,14.00%
College of Wooster (Ohio)Baccalaureate | OH,186,50.50%,0.00%,5.40%,5.90%,5.90%,0.00%,80.10%,0.50%,0.00%,2.10%,17.70%
Rhodes CollegeBaccalaureate | TN,185,49.70%,0.00%,5.40%,7.60%,4.30%,0.00%,76.20%,1.10%,1.60%,3.80%,18.40%
Los Angeles Trade-Technical CollegeAssociate | CA,185,48.60%,1.10%,8.10%,19.50%,20.50%,0.00%,27.00%,0.00%,23.80%,0.00%,49.20%
Lewis-Clark State CollegeBaccalaureate | ID,185,53.00%,1.60%,1.10%,1.60%,1.60%,0.00%,92.40%,1.60%,0.00%,0.00%,7.60%
University of BaltimoreMaster's | MD,185,46.00%,0.00%,10.30%,9.20%,3.20%,0.00%,73.00%,0.00%,1.60%,2.70%,22.70%
Volunteer State Community CollegeAssociate | TN,184,52.20%,2.20%,1.60%,7.10%,3.80%,0.00%,84.20%,0.00%,1.10%,0.00%,14.70%
Whitworth UniversityMaster's | WA,184,44.60%,0.00%,3.80%,1.10%,3.30%,0.00%,91.30%,0.00%,0.00%,0.50%,8.20%
Western Technical College (Wis.)Associate | WI,184,57.10%,1.10%,0.50%,0.50%,0.50%,0.00%,96.70%,0.00%,0.50%,0.00%,2.70%
Missouri Southern State UniversityBaccalaureate | MO,184,48.90%,2.20%,3.30%,4.30%,1.10%,1.10%,83.20%,0.00%,4.30%,0.50%,12.00%
Bethel University (Tenn.)Master's | TN,183,43.70%,0.00%,0.00%,8.70%,1.10%,0.00%,88.50%,0.00%,1.60%,0.00%,9.80%
St. Edward's UniversityMaster's | TX,183,53.00%,0.00%,4.40%,3.30%,9.80%,0.00%,80.30%,1.10%,0.00%,1.10%,18.60%
Henderson State UniversityMaster's | AR,183,49.20%,0.50%,2.70%,3.30%,2.20%,0.00%,78.70%,4.90%,2.20%,5.50%,13.70%
San Diego City CollegeAssociate | CA,183,59.60%,0.00%,6.00%,8.70%,12.00%,0.00%,54.60%,0.00%,18.60%,0.00%,26.80%
Tallahassee Community CollegeAssociate | FL,183,58.50%,1.10%,2.70%,19.70%,8.20%,0.00%,67.20%,0.00%,1.10%,0.00%,31.70%
Foothill CollegeAssociate | CA,182,58.20%,0.00%,15.40%,5.50%,15.40%,0.00%,59.90%,3.30%,0.50%,0.00%,39.60%
Clark Atlanta UniversityDoctoral | GA,182,46.20%,0.00%,11.00%,74.20%,1.10%,0.00%,9.90%,0.00%,1.10%,2.80%,86.30%
Stark State CollegeAssociate | OH,182,57.10%,0.00%,0.00%,3.30%,0.00%,0.00%,94.50%,0.00%,0.50%,1.70%,3.30%
York College of PennsylvaniaMaster's | PA,182,48.90%,0.00%,4.40%,2.20%,1.70%,0.00%,89.00%,0.50%,1.10%,1.10%,8.80%
Ashland UniversityDoctoral | OH,181,45.90%,0.00%,3.30%,2.80%,1.70%,0.00%,92.30%,0.00%,0.00%,0.00%,7.70%
Rhode Island School of DesignSpecial-Focus | RI,181,46.40%,0.50%,6.10%,3.90%,3.30%,0.00%,76.80%,0.00%,1.10%,8.30%,13.80%
Bob Jones UniversityMaster's | SC,181,38.70%,0.50%,2.80%,0.50%,3.30%,0.00%,90.60%,0.50%,0.50%,1.10%,7.70%
Jefferson Community and Technical CollegeAssociate | KY,181,53.60%,0.00%,1.10%,7.70%,0.50%,0.00%,87.80%,2.80%,0.00%,0.00%,12.20%
Whitman CollegeBaccalaureate | WA,181,45.90%,0.00%,6.10%,2.20%,3.90%,2.20%,75.70%,0.50%,2.80%,6.60%,14.90%
Vincennes UniversityAssociate | IN,180,50.60%,1.10%,0.60%,2.20%,0.60%,0.00%,90.60%,0.60%,0.60%,3.90%,5.00%
Bates CollegeBaccalaureate | ME,180,49.40%,0.60%,3.90%,5.60%,6.70%,0.00%,73.90%,2.80%,1.70%,5.00%,19.40%
Palm Beach Atlantic UniversityMaster's | FL,180,45.00%,0.00%,2.20%,6.10%,6.70%,0.00%,78.90%,0.60%,1.10%,4.40%,15.60%
Moorpark CollegeAssociate | CA,179,55.30%,0.00%,10.10%,1.10%,15.60%,0.00%,65.90%,3.90%,2.80%,0.60%,30.70%
San Bernardino Valley CollegeAssociate | CA,179,57.50%,0.60%,8.90%,20.10%,22.90%,0.00%,45.80%,0.00%,1.70%,0.00%,52.50%
Pensacola State CollegeAssociate | FL,179,55.30%,1.10%,5.60%,6.70%,2.80%,0.00%,77.60%,4.50%,0.00%,1.70%,20.70%
Amarillo CollegeAssociate | TX,179,62.60%,1.10%,3.90%,1.10%,7.30%,0.00%,86.00%,0.00%,0.60%,0.00%,13.40%
Pitt Community CollegeAssociate | NC,178,61.80%,0.00%,0.00%,10.70%,1.70%,0.00%,87.60%,0.00%,0.00%,0.00%,12.40%
Carthage CollegeBaccalaureate | WI,178,43.30%,0.00%,6.70%,2.80%,3.40%,0.00%,82.00%,1.10%,3.90%,0.00%,14.00%
Wharton County Junior CollegeAssociate | TX,177,61.00%,0.60%,5.10%,11.90%,7.90%,0.00%,70.10%,0.00%,3.40%,1.10%,25.40%
Independence UniversitySpecial-Focus | UT,177,62.20%,0.60%,1.10%,7.30%,0.60%,0.00%,89.30%,1.10%,0.00%,0.00%,10.70%
Spelman CollegeBaccalaureate | GA,177,74.00%,1.10%,10.20%,67.20%,5.70%,0.00%,14.10%,1.10%,0.60%,0.00%,85.30%
Hostos Community College-City University of New YorkAssociate | NY,177,52.00%,0.60%,7.90%,13.60%,31.60%,0.00%,42.40%,1.10%,0.00%,2.80%,54.80%
State University of New York College at PurchaseBaccalaureate | NY,177,54.80%,0.00%,7.30%,4.00%,5.10%,0.00%,79.10%,1.70%,0.00%,2.80%,18.10%
Pratt InstituteSpecial-Focus | NY,176,52.30%,0.00%,8.50%,6.80%,6.80%,0.00%,77.80%,0.00%,0.00%,0.00%,22.20%
Sewanee: The University of the SouthBaccalaureate | TN,176,45.50%,0.00%,4.50%,3.40%,5.70%,0.00%,79.00%,2.30%,0.00%,5.10%,15.90%
Imperial Valley CollegeAssociate | CA,176,51.70%,0.00%,3.40%,2.80%,47.20%,0.00%,43.80%,1.70%,1.10%,0.00%,55.10%
Colorado State University at PuebloMaster's | CO,176,44.90%,0.00%,6.30%,2.80%,10.20%,0.00%,72.20%,0.60%,4.50%,3.40%,19.90%
Saint Leo UniversityMaster's | FL,176,47.70%,0.60%,4.00%,14.80%,4.00%,0.00%,71.60%,3.40%,1.70%,0.00%,26.70%
Bellarmine UniversityMaster's | KY,176,56.30%,0.00%,2.30%,4.00%,1.10%,0.00%,89.80%,1.10%,0.00%,1.70%,8.50%
Augsburg CollegeMaster's | MN,175,54.90%,1.70%,6.30%,2.90%,3.40%,0.00%,82.90%,2.30%,0.00%,0.60%,16.60%
Asheville-Buncombe Technical Community CollegeAssociate | NC,175,63.40%,0.00%,0.60%,2.90%,0.00%,0.00%,93.70%,0.60%,2.30%,0.00%,4.00%
Lee CollegeAssociate | TX,175,49.10%,0.00%,3.40%,12.60%,5.10%,0.00%,73.70%,3.40%,1.70%,0.00%,24.60%
Richland CollegeAssociate | TX,174,51.70%,0.60%,13.20%,12.10%,14.90%,0.00%,54.00%,2.90%,1.70%,0.60%,43.70%
Iona CollegeMaster's | NY,174,47.70%,0.00%,14.90%,5.80%,1.70%,0.00%,75.90%,0.00%,0.60%,1.10%,22.40%
Kapiolani Community CollegeAssociate | HI,174,49.40%,0.60%,40.20%,1.10%,3.50%,8.10%,40.80%,5.20%,0.00%,0.60%,58.60%
School of the Art Institute of ChicagoSpecial-Focus | IL,174,47.10%,0.00%,8.60%,8.10%,7.50%,0.00%,69.00%,1.70%,1.10%,4.00%,25.90%
Bethune-Cookman UniversityBaccalaureate | FL,174,46.00%,0.00%,9.20%,54.00%,5.20%,1.10%,25.90%,4.00%,0.60%,0.00%,73.60%
Chattahoochee Technical CollegeAssociate | GA,174,52.30%,0.00%,2.90%,22.40%,1.10%,0.00%,73.60%,0.00%,0.00%,0.00%,26.40%
Allan Hancock CollegeAssociate | CA,173,54.30%,0.00%,4.00%,1.20%,19.70%,0.60%,64.70%,3.50%,2.30%,4.00%,28.90%
Citrus CollegeAssociate | CA,173,53.80%,2.90%,10.40%,4.00%,20.80%,3.50%,57.20%,0.00%,1.20%,0.00%,41.60%
Ventura CollegeAssociate | CA,173,51.40%,0.00%,7.50%,1.20%,20.80%,0.00%,65.30%,1.70%,3.50%,0.00%,31.20%
Southeastern University (Fla.)Master's | FL,173,46.20%,0.60%,0.60%,8.70%,5.80%,3.50%,80.30%,0.60%,0.00%,0.00%,19.70%
College of Saint RoseMaster's | NY,173,55.50%,0.00%,6.90%,4.00%,1.70%,0.00%,81.50%,0.00%,1.20%,4.60%,12.70%
Roanoke CollegeBaccalaureate | VA,173,53.20%,0.00%,2.90%,0.60%,5.20%,0.00%,89.00%,0.00%,0.00%,2.30%,8.70%
Lawrence UniversityBaccalaureate | WI,173,46.20%,1.20%,4.60%,2.30%,6.40%,0.00%,80.30%,1.20%,1.20%,2.90%,15.60%
University of EvansvilleMaster's | IN,173,45.10%,0.00%,7.50%,1.70%,1.20%,0.60%,51.40%,0.00%,37.00%,0.60%,11.00%
John Carroll UniversityMaster's | OH,173,46.20%,0.00%,7.50%,2.90%,4.60%,0.00%,76.90%,0.00%,5.20%,2.90%,15.00%
State University of New York College at Old WestburyMaster's | NY,172,53.50%,0.60%,17.40%,14.50%,8.10%,0.00%,57.60%,0.60%,0.00%,1.20%,41.30%
Central Community CollegeAssociate | NE,171,53.20%,0.00%,1.80%,0.60%,0.60%,0.00%,95.90%,0.00%,0.60%,0.60%,2.90%
Fairleigh Dickinson UniversityMaster's | NJ,171,44.40%,0.00%,17.00%,5.30%,0.00%,0.00%,69.60%,7.60%,0.60%,0.00%,29.80%
Le Moyne CollegeMaster's | NY,171,43.90%,0.00%,9.40%,1.80%,2.30%,0.00%,82.50%,0.00%,1.20%,2.90%,13.50%
Bryn Mawr CollegeBaccalaureate | PA,171,63.70%,0.00%,10.50%,5.30%,7.00%,0.00%,60.80%,4.70%,11.10%,0.60%,27.50%
South College (Tenn.)Master's | TN,171,67.30%,0.60%,1.20%,2.90%,1.20%,0.00%,91.20%,2.90%,0.00%,0.00%,8.80%
Claremont McKenna CollegeBaccalaureate | CA,171,35.70%,0.00%,9.40%,2.30%,4.10%,0.00%,77.80%,1.20%,2.90%,2.30%,17.00%
Bryant UniversityMaster's | RI,170,40.00%,0.60%,11.80%,3.50%,1.80%,0.00%,77.10%,1.20%,1.20%,2.90%,18.80%
Alfred State CollegeBaccalaureate | NY,170,31.20%,0.00%,2.90%,0.60%,0.60%,0.00%,95.90%,0.00%,0.00%,0.00%,4.10%
Rosalind Franklin University of Medicine and ScienceSpecial-Focus | IL,170,44.10%,0.00%,15.90%,4.10%,2.90%,0.60%,75.90%,0.60%,0.00%,0.00%,24.10%
Stonehill CollegeBaccalaureate | MA,170,45.90%,0.00%,8.80%,1.80%,4.10%,0.00%,77.60%,0.00%,3.50%,4.10%,14.70%
Oregon Institute of TechnologyBaccalaureate | OR,169,36.70%,0.00%,7.10%,0.00%,1.80%,0.00%,84.00%,0.00%,2.40%,4.70%,8.90%
