Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
Nassau Community CollegeAssociate | NY,406,60.80%,0.30%,4.20%,7.40%,3.20%,0.30%,84.20%,0.50%,0.00%,0.00%,15.80%
Bloomsburg University of PennsylvaniaMaster's | PA,405,46.20%,0.00%,6.20%,3.00%,1.70%,0.30%,82.50%,1.20%,0.30%,4.90%,12.30%
Prairie View A&M UniversityDoctoral | TX,403,43.40%,0.00%,19.60%,58.10%,4.20%,0.00%,16.90%,0.00%,0.00%,1.20%,81.90%
William Paterson University of New JerseyMaster's | NJ,403,50.10%,0.00%,19.60%,9.20%,7.20%,0.00%,60.60%,1.00%,1.00%,1.50%,37.00%
City University of New York John Jay College of Criminal JusticeMaster's | NY,402,47.50%,0.00%,8.00%,10.90%,10.40%,0.80%,62.70%,1.00%,0.00%,6.20%,31.10%
University of Massachusetts at DartmouthDoctoral | MA,402,47.50%,0.50%,16.20%,2.70%,2.20%,0.00%,69.70%,0.80%,4.00%,4.00%,22.40%
"City University of New York, New York City College of TechnologyBaccalaureate | NY",401,48.40%,0.50%,16.00%,13.20%,7.70%,0.00%,57.40%,0.00%,0.00%,5.20%,37.40%
Worcester Polytechnic InstituteDoctoral | MA,400,31.30%,0.30%,10.50%,1.50%,4.80%,0.50%,66.50%,0.30%,3.00%,12.80%,17.80%
City University of New York Queensborough Community CollegeAssociate | NY,400,50.70%,0.30%,12.80%,9.80%,8.30%,0.00%,62.30%,0.80%,0.30%,5.80%,31.80%
State University of New York Health Science Center at BrooklynSpecial-Focus | NY,398,44.20%,0.80%,17.10%,13.10%,6.00%,0.00%,61.80%,0.50%,0.00%,0.80%,37.40%
Loma Linda UniversitySpecial-Focus | CA,397,55.70%,0.00%,16.90%,7.80%,8.60%,0.30%,62.20%,1.50%,0.00%,2.80%,35.00%
American River CollegeAssociate | CA,396,56.80%,1.00%,9.10%,5.80%,13.40%,1.00%,61.90%,1.50%,4.80%,1.50%,31.80%
Delaware Technical and Community College-TerryAssociate | DE,396,65.40%,1.00%,2.50%,7.60%,2.30%,0.00%,86.10%,0.50%,0.00%,0.00%,13.90%
California State University at San MarcosMaster's | CA,395,56.50%,1.30%,12.90%,3.00%,13.40%,0.30%,59.00%,3.80%,2.80%,3.50%,34.70%
Central Piedmont Community CollegeAssociate | NC,393,55.00%,0.80%,2.00%,17.10%,3.60%,0.50%,73.50%,0.30%,1.00%,1.30%,24.20%
Butler UniversityMaster's | IN,393,51.40%,0.50%,5.30%,4.10%,3.00%,0.00%,86.00%,0.30%,0.80%,0.00%,13.20%
Kutztown University of PennsylvaniaMaster's | PA,393,46.60%,0.80%,10.70%,4.10%,3.80%,0.00%,77.30%,0.50%,1.50%,1.30%,19.90%
Pepperdine UniversityDoctoral | CA,393,42.20%,0.00%,8.90%,4.60%,6.10%,0.00%,77.90%,1.80%,0.50%,0.30%,21.40%
Southeast Missouri State UniversityMaster's | MO,392,53.30%,0.30%,8.70%,4.30%,1.00%,0.00%,80.60%,0.80%,0.30%,4.10%,15.00%
Southeast Missouri State UniversityMaster's | MO,392,53.30%,0.30%,8.70%,4.30%,1.00%,0.00%,80.60%,0.80%,0.30%,4.10%,15.00%
Louisiana Tech UniversityDoctoral | LA,391,40.20%,0.00%,3.10%,3.10%,1.50%,0.00%,79.50%,0.00%,0.00%,12.80%,7.70%
North Carolina Central UniversityMaster's | NC,385,53.80%,0.30%,9.10%,55.30%,1.60%,0.00%,24.90%,0.80%,5.20%,2.90%,67.00%
Missouri University of Science and TechnologyDoctoral | MO,382,26.20%,0.50%,18.30%,2.40%,1.60%,0.00%,62.60%,0.50%,1.30%,12.80%,23.30%
Eastern Illinois UniversityMaster's | IL,381,49.10%,0.50%,7.30%,4.50%,2.40%,0.00%,78.00%,0.00%,5.00%,2.40%,14.70%
Louisiana State University Health Sciences Center at ShreveportSpecial-Focus | LA,380,42.40%,0.00%,19.50%,5.80%,2.90%,0.00%,63.20%,0.00%,0.00%,8.70%,28.20%
Texas A&M University at CommerceDoctoral | TX,380,46.30%,0.30%,12.10%,9.70%,6.80%,0.30%,60.80%,0.50%,2.40%,7.10%,29.70%
California State University-Dominguez HillsMaster's | CA,375,54.40%,1.10%,16.50%,9.30%,14.10%,0.00%,46.90%,2.70%,5.30%,4.00%,43.70%
University of California at MercedDoctoral | CA,375,43.70%,0.30%,14.70%,1.30%,13.30%,0.00%,55.20%,1.90%,5.30%,8.00%,31.50%
Broward CollegeAssociate | FL,375,54.10%,1.30%,5.30%,15.20%,20.00%,0.00%,51.50%,0.00%,6.70%,0.00%,41.90%
Arkansas Tech UniversityMaster's | AR,372,50.50%,0.30%,7.30%,3.20%,1.60%,0.00%,86.80%,0.50%,0.00%,0.30%,12.90%
California State University-East BayMaster's | CA,371,51.20%,0.00%,19.10%,6.70%,8.60%,0.80%,51.70%,1.10%,7.30%,4.60%,36.40%
State University of New York College at OswegoMaster's | NY,371,45.80%,0.30%,8.40%,3.50%,4.30%,0.00%,75.70%,0.80%,0.00%,7.00%,17.30%
Austin Peay State UniversityMaster's | TN,371,49.30%,0.00%,6.20%,7.00%,1.60%,0.00%,79.00%,2.40%,0.80%,3.00%,17.30%
College of Staten IslandMaster's | NY,369,46.10%,0.00%,17.10%,3.00%,7.00%,0.00%,68.00%,0.80%,0.00%,4.10%,27.90%
Wesleyan University (Conn.)Baccalaureate | CT,368,45.90%,0.30%,9.00%,4.60%,4.60%,0.30%,70.90%,2.50%,0.00%,7.90%,21.20%
City University of New York Herbert H. Lehman CollegeMaster's | NY,368,54.60%,0.50%,7.90%,11.70%,14.70%,0.00%,60.60%,0.30%,0.00%,4.30%,35.00%
College of New JerseyMaster's | NJ,363,54.00%,0.00%,14.90%,6.60%,5.20%,0.00%,70.80%,0.00%,2.50%,0.00%,26.70%
Brandeis UniversityDoctoral | MA,363,45.70%,0.00%,7.70%,1.10%,3.90%,0.00%,60.60%,0.50%,20.70%,5.50%,13.20%
Bakersfield CollegeAssociate | CA,362,49.20%,0.00%,5.00%,4.40%,18.20%,1.10%,67.40%,0.00%,3.90%,0.00%,28.70%
University of Houston-DowntownMaster's | TX,362,47.00%,0.30%,18.20%,10.80%,10.20%,0.30%,54.70%,1.70%,0.30%,3.60%,41.40%
Samford UniversityMaster's | AL,361,51.50%,0.50%,2.50%,6.90%,1.10%,0.30%,85.60%,0.30%,1.40%,1.40%,11.60%
University of TampaMaster's | FL,361,46.30%,0.00%,5.50%,5.00%,3.90%,0.50%,82.30%,0.50%,2.20%,0.00%,15.50%
University of HartfordDoctoral | CT,361,44.60%,0.00%,3.90%,4.20%,3.30%,0.30%,73.40%,0.00%,0.80%,14.10%,11.60%
University of Wisconsin at Stevens PointMaster's | WI,359,43.20%,0.30%,5.30%,0.80%,3.10%,0.00%,86.60%,0.60%,0.80%,2.50%,10.00%
Slippery Rock University of PennsylvaniaMaster's | PA,359,50.40%,0.30%,7.20%,3.30%,4.50%,0.00%,79.40%,1.40%,0.00%,3.90%,16.70%
Southeast Community College (Neb.)Associate | NE,359,49.60%,0.80%,0.60%,1.70%,1.70%,0.00%,95.00%,0.00%,0.30%,0.00%,4.70%
University of Southern IndianaMaster's | IN,359,54.60%,0.00%,5.00%,2.80%,1.70%,0.00%,84.70%,1.70%,1.10%,3.10%,11.10%
City University of New York La Guardia Community CollegeAssociate | NY,359,57.10%,0.00%,15.00%,14.80%,11.10%,0.00%,52.60%,0.60%,0.00%,5.90%,41.50%
Fresno City CollegeAssociate | CA,358,51.40%,1.70%,6.70%,5.90%,18.20%,0.00%,57.50%,6.40%,3.60%,0.00%,38.80%
Buffalo State CollegeMaster's | NY,358,48.90%,0.60%,10.60%,5.30%,4.50%,0.00%,75.40%,0.30%,0.00%,3.40%,21.20%
Kean UniversityMaster's | NJ,357,55.50%,0.30%,13.20%,10.90%,5.30%,0.00%,66.70%,0.60%,0.00%,3.10%,30.30%
Belmont UniversityMaster's | TN,357,49.00%,0.00%,2.50%,6.20%,2.50%,0.00%,85.70%,1.40%,0.30%,1.40%,12.60%
Loyola University MarylandMaster's | MD,356,52.80%,0.00%,9.00%,5.10%,3.60%,0.00%,77.80%,0.80%,1.40%,2.30%,18.50%
University of TulsaDoctoral | OK,356,36.50%,3.40%,8.40%,1.70%,2.50%,0.30%,78.10%,1.70%,0.30%,3.60%,18.00%
University of Michigan at DearbornMaster's | MI,355,41.10%,0.00%,21.10%,3.90%,3.70%,0.00%,63.70%,1.40%,0.90%,5.30%,30.10%
Bridgewater State UniversityMaster's | MA,355,54.10%,0.60%,8.50%,3.40%,2.50%,0.30%,75.50%,2.30%,7.00%,0.00%,17.50%
Fort Hays State UniversityMaster's | KS,353,46.70%,0.60%,9.30%,2.30%,2.80%,0.00%,70.00%,3.10%,11.30%,0.60%,18.10%
Suffolk UniversityDoctoral | MA,352,51.70%,0.30%,11.10%,3.40%,2.30%,0.00%,74.20%,0.00%,8.80%,0.00%,17.10%
St. Petersburg CollegeBaccalaureate | FL,351,57.00%,0.00%,2.90%,10.30%,6.00%,0.00%,78.60%,2.00%,0.30%,0.00%,21.10%
Palm Beach State CollegeAssociate | FL,351,57.80%,0.60%,4.80%,14.80%,11.10%,0.00%,64.70%,0.90%,2.90%,0.30%,32.20%
State University of New York at New PaltzMaster's | NY,351,50.10%,0.00%,10.00%,4.30%,4.60%,0.00%,76.60%,0.60%,0.00%,4.00%,19.40%
Berklee College of MusicSpecial-Focus | MA,349,31.50%,0.00%,2.90%,12.00%,3.70%,0.00%,78.20%,0.60%,2.30%,0.30%,19.20%
MCPHS UniversitySpecial-Focus | MA,349,66.50%,0.00%,10.30%,2.30%,2.00%,0.00%,79.10%,1.40%,4.90%,0.00%,16.10%
Community College of PhiladelphiaAssociate | PA,349,54.10%,0.00%,4.00%,17.50%,4.30%,0.00%,71.90%,1.40%,0.90%,0.00%,27.20%
Florida State College at JacksonvilleBaccalaureate | FL,348,53.70%,0.00%,3.50%,13.20%,4.60%,0.00%,75.00%,3.50%,0.30%,0.00%,24.70%
Bradley UniversityMaster's | IL,348,41.90%,0.00%,13.20%,2.60%,3.20%,0.00%,78.20%,1.40%,0.60%,0.90%,20.40%
Jackson State UniversityDoctoral | MS,347,47.30%,0.30%,12.70%,63.10%,1.10%,0.00%,15.80%,0.30%,0.00%,6.60%,77.50%
University of Alabama at HuntsvilleDoctoral | AL,347,45.00%,0.00%,17.30%,4.90%,2.00%,0.30%,70.60%,0.30%,0.00%,4.60%,24.80%
University of the Incarnate WordMaster's | TX,347,53.60%,0.60%,7.80%,4.60%,22.20%,0.00%,63.40%,0.00%,0.00%,1.40%,35.20%
Des Moines Area Community CollegeAssociate | IA,346,50.60%,0.00%,3.20%,1.70%,1.20%,0.00%,91.90%,1.70%,0.30%,0.00%,7.80%
University of West FloridaDoctoral | FL,346,45.40%,1.20%,11.00%,6.40%,2.60%,0.00%,78.00%,0.60%,0.30%,0.00%,21.70%
Salt Lake Community CollegeAssociate | UT,345,44.60%,1.50%,3.80%,2.00%,5.80%,0.00%,85.80%,0.30%,0.90%,0.00%,13.30%
Tennessee State UniversityDoctoral | TN,344,45.60%,0.30%,9.90%,40.70%,1.20%,0.30%,35.20%,2.00%,0.60%,9.90%,54.40%
Saint Louis Community College at Forest ParkAssociate | MO,344,57.90%,0.60%,2.60%,12.20%,2.30%,0.00%,77.90%,0.60%,0.90%,2.90%,18.30%
El Camino CollegeAssociate | CA,343,52.80%,0.30%,13.40%,7.30%,18.10%,0.30%,59.50%,0.00%,0.90%,0.30%,39.40%
Stockton UniversityMaster's | NJ,343,54.20%,0.30%,11.90%,8.50%,5.50%,0.00%,69.10%,0.90%,0.00%,3.80%,27.10%
"State University of New York, The College at BrockportMaster's | NY",342,52.90%,0.30%,7.90%,4.10%,2.60%,0.00%,77.50%,0.60%,0.00%,7.00%,15.50%
American Public University systemMaster's | WV,341,53.70%,1.80%,2.40%,8.50%,2.90%,0.00%,70.40%,2.60%,11.40%,0.00%,18.20%
Concordia University ChicagoMaster's | IL,340,56.80%,0.60%,2.90%,7.90%,3.20%,0.00%,81.80%,0.30%,2.40%,0.90%,15.00%
Adelphi UniversityDoctoral | NY,340,53.50%,0.00%,12.90%,4.70%,7.30%,0.00%,72.90%,1.20%,0.90%,0.00%,26.20%
California Baptist UniversityMaster's | CA,340,46.20%,0.60%,14.70%,7.60%,6.80%,0.30%,65.00%,2.90%,2.10%,0.00%,32.90%
