,Description,Missouri,,,Montana,,,Nebraska,,,Nevada,,,New Hampshire,,,New Jersey,,,New Mexico,,,New York,,,North Carolina,,,North Dakota,,,Ohio,,,Oklahoma,,,Oregon,,,Pennsylvania,,,Rhode Island,,,South Carolina,,,South Dakota,,,Tennessee,,,Texas,,,Utah,,,Vermont,,,Virginia,,,Washington,,,West Virginia,,,Wisconsin,,,Wyoming,,
,,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local,State & local, State, Local
,,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1,amount1,amount,amount1
,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Line,Description,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78
10,          Sales and gross receipts,"8,822,211","5,403,936","3,418,275","590,122","576,214","13,908","2,900,729","2,407,514","493,215","8,613,992","6,923,284","1,690,708","961,919","959,384","2,535","14,339,264","14,163,269","175,995","4,275,078","3,069,641","1,205,437","44,119,127","25,362,583","18,756,544","15,028,752","11,698,702","3,330,050","1,616,278","1,349,428","266,850","21,451,700","18,743,014","2,708,686","6,113,101","3,764,895","2,348,206","2,102,464","1,523,790","578,674","21,593,690","20,173,496","1,420,194","1,722,342","1,691,782","30,560","5,484,810","4,637,349","847,461","1,922,533","1,517,856","404,677","12,765,573","10,010,965","2,754,608","57,021,192","46,897,352","10,123,840","4,946,897","3,530,809","1,416,088","1,083,762","1,058,569","25,193","9,936,450","6,916,097","3,020,353","24,585,554","19,170,781","5,414,773","2,796,682","2,672,887","123,795","8,476,877","7,972,959","503,918","883,542","762,588","120,954"
11,               General sales,"6,401,636","3,604,570","2,797,066",0,0,0,"2,238,300","1,835,037","403,263","5,488,883","4,756,243","732,640",0,0,0,"9,591,881","9,591,881",0,"3,357,550","2,258,767","1,098,783","30,391,564","14,132,141","16,259,423","10,538,371","7,656,898","2,881,473","1,114,636","872,176","242,460","14,991,258","12,512,755","2,478,503","4,661,910","2,465,383","2,196,527",0,0,0,"11,430,195","10,509,734","920,461","996,390","996,390",0,"3,817,158","3,285,007","532,151","1,438,749","1,065,361","373,388","9,368,860","7,260,193","2,108,667","40,392,999","32,490,144","7,902,855","3,322,399","2,533,961","788,438","391,111","375,870","15,241","5,430,954","3,970,133","1,460,821","18,386,514","14,509,841","3,876,673","1,376,680","1,334,168","42,512","5,610,211","5,223,935","386,276","678,204","588,866","89,338"
12,               Selective sales,"2,420,575","1,799,366","621,209","590,122","576,214","13,908","662,429","572,477","89,952","3,125,109","2,167,041","958,068","961,919","959,384","2,535","4,747,383","4,571,388","175,995","917,528","810,874","106,654","13,727,563","11,230,442","2,497,121","4,490,381","4,041,804","448,577","501,642","477,252","24,390","6,460,442","6,230,259","230,183","1,451,191","1,299,512","151,679","2,102,464","1,523,790","578,674","10,163,495","9,663,762","499,733","725,952","695,392","30,560","1,667,652","1,352,342","315,310","483,784","452,495","31,289","3,396,713","2,750,772","645,941","16,628,193","14,407,208","2,220,985","1,624,498","996,848","627,650","692,651","682,699","9,952","4,505,496","2,945,964","1,559,532","6,199,040","4,660,940","1,538,100","1,420,002","1,338,719","81,283","2,866,666","2,749,024","117,642","205,338","173,722","31,616"
13,                    Motor fuel,"720,849","720,849",0,"189,561","189,561",0,"354,234","354,234",0,"592,236","326,425","265,811","152,086","152,086",0,"532,878","532,878",0,"242,627","242,627",0,"1,647,240","1,647,240",0,"1,922,400","1,922,400",0,"189,718","189,718",0,"1,984,392","1,984,392",0,"473,960","473,960",0,"555,551","529,658","25,893","3,143,576","3,143,576",0,"90,990","90,990",0,"583,476","583,476",0,"189,194","189,133",61,"915,858","915,858",0,"3,585,179","3,585,179",0,"487,770","487,731",39,"81,020","81,020",0,"1,072,316","997,561","74,755","1,812,646","1,812,646",0,"383,935","383,874",61,"1,044,996","1,044,996",0,"114,140","114,140",0
14,                    Alcoholic beverage,"37,863","37,863",0,"32,926","32,926",0,"30,911","30,911",0,"45,011","45,011",0,"12,678","12,678",0,"137,814","137,757",57,"46,724","44,916","1,808","283,504","257,690","25,814","469,339","394,838","74,501","8,872","8,872",0,"118,945","107,060","11,885","118,260","118,260",0,"18,796","18,796",0,"426,048","386,816","39,232","20,873","20,873",0,"178,446","177,317","1,129","17,095","16,933",162,"407,448","187,125","220,323","1,228,641","1,228,641",0,"50,002","50,002",0,"26,028","26,028",0,"224,426","224,426",0,"354,939","354,939",0,"26,134","17,782","8,352","61,203","61,203",0,"1,878","1,878",0
15,                    Tobacco products,"113,283","100,391","12,892","83,606","83,606",0,"56,954","56,954",0,"195,371","195,371",0,"203,102","203,102",0,"697,577","697,577",0,"89,703","89,703",0,"1,302,911","1,265,699","37,212","292,138","292,138",0,"28,977","28,977",0,"1,127,316","1,109,777","17,539","320,200","320,200",0,"247,406","247,406",0,"1,401,259","1,401,259",0,"140,074","140,074",0,"26,383","26,383",0,"61,809","61,809",0,"256,762","256,762",0,"1,467,486","1,467,486",0,"116,158","116,158",0,"76,686","76,686",0,"231,612","171,198","60,414","430,022","430,022",0,"194,647","194,647",0,"644,478","644,478",0,"22,683","22,683",0
16,                    Public utilities,"385,830",0,"385,830","43,505","43,505",0,"124,368","44,297","80,071","285,187","24,676","260,511","55,962","53,427","2,535","1,044,474","984,612","59,862","86,199","30,633","55,566","1,678,906","811,992","866,914",259,259,0,"58,921","46,595","12,326","1,188,728","1,147,894","40,834","143,086","42,267","100,819","324,778","11,206","313,572","1,252,847","1,235,942","16,905","97,711","97,711",0,"102,168","28,278","73,890","13,098","3,103","9,995","125,708","7,398","118,310","1,901,268","614,565","1,286,703","238,420","24,351","214,069","10,777","8,589","2,188","698,323","118,088","580,235","1,306,112","504,117","801,995","137,895","107,719","30,176","357,757","357,757",0,"28,925","3,999","24,926"
17,                    Other selective sales,"1,162,750","940,263","222,487","240,524","226,616","13,908","95,962","86,081","9,881","2,007,304","1,575,558","431,746","538,091","538,091",0,"2,334,640","2,218,564","116,076","452,275","402,995","49,280","8,815,002","7,247,821","1,567,181","1,806,245","1,432,169","374,076","215,154","203,090","12,064","2,041,061","1,881,136","159,925","395,685","344,825","50,860","955,933","716,724","239,209","3,939,765","3,496,169","443,596","376,304","345,744","30,560","777,179","536,888","240,291","202,588","181,517","21,071","1,690,937","1,383,629","307,308","8,445,619","7,511,337","934,282","732,148","318,606","413,542","498,140","490,376","7,764","2,278,819","1,434,691","844,128","2,295,321","1,559,216","736,105","677,391","634,697","42,694","758,232","640,590","117,642","37,712","31,022","6,690"
18,          Individual income,"6,553,812","6,149,468","404,344","1,177,958","1,177,958",0,"2,228,486","2,228,486",0,0,0,0,"65,467","65,467",0,"13,958,119","13,958,119",0,"1,338,768","1,338,768",0,"56,371,968","44,631,769","11,740,199","12,086,332","12,086,332",0,"319,507","319,507",0,"14,081,760","8,377,450","5,704,310","3,122,602","3,122,602",0,"8,379,234","8,379,225",9,"17,123,585","12,063,782","5,059,803","1,238,928","1,238,928",0,"4,142,276","4,142,276",0,0,0,0,"249,977","249,977",0,0,0,0,"3,621,199","3,621,199",0,"743,630","743,630",0,"13,052,887","13,052,887",0,0,0,0,"1,813,866","1,813,866",0,"7,792,543","7,792,543",0,0,0,0
19,          Corporate income,"383,191","307,443","75,748","125,003","125,003",0,"264,440","264,440",0,0,0,0,"573,653","573,653",0,"2,109,930","2,109,930",0,"91,876","91,876",0,"10,586,457","4,026,353","6,560,104","757,041","757,041",0,"60,871","60,871",0,"217,469","8,833","208,636","157,894","157,894",0,"717,496","633,046","84,450","2,761,870","2,344,344","417,526","129,732","129,732",0,"375,655","375,655",0,"30,728","30,728",0,"1,726,223","1,726,223",0,0,0,0,"329,577","329,577",0,"111,186","111,186",0,"826,961","826,961",0,0,0,0,"116,305","116,305",0,"959,699","959,699",0,0,0,0
